poliza_id,edad_conductor,sexo,estado_civil,nivel_estudios,ocupacion,zona_residencia,region,antiguedad_cliente_anios,ingreso_mensual_mxn,score_crediticio,prima_mensual_mxn,suma_asegurada_mxn,deducible_pct,historial_siniestros_3_anios,km_anuales,edad_vehiculo_anios,tipo_vehiculo,uso_vehiculo,segmento_marca,metodo_pago,canal_venta,tiene_gps,asistencia_vial,mantenimiento_al_dia,dias_hasta_renovacion,puntaje_riesgo_zona,numero_siniestros_12m,costo_esperado_anual_mxn,riesgo_alto,clase_costo,km_por_anio_vehiculo,log_ingreso,ratio_prima_ingreso,siniestros_x_suma,siniestros_x_prima,grupo_edad
POL-00029,32,Masculino,Soltero,Preparatoria,Empresario,Suburbana,Sur,8.9,38655.0,667.0,350.0,189721.0,15,0,5163.0,3.6,Sedan,Trabajo,Economico,Trimestral,Agente,No,Si,Si,364,65.7,0,3282,0,Bajo,1122.3913043478262,10.562457281294487,0.009054221854304635,0.0,0.0,Adulto_joven
POL-00030,36,Masculino,Casado,Secundaria,Estudiante,Urbana,Bajio,0.7,41836.0,596.0,350.0,238827.0,5,0,5617.0,3.1,SUV,Particular,Economico,Mensual,Agente,No,Si,Si,279,65.4,0,3347,0,Bajo,1370.0000000000002,10.641536394447272,0.008365800607118102,0.0,0.0,Adulto_joven
POL-00031,32,Femenino,Casado,Posgrado,Empleado,Urbana,Bajio,0.6,12701.0,850.0,1205.0,570923.0,5,0,16391.0,7.9,Deportivo,Trabajo,Medio,Mensual,Agente,No,No,Si,279,85.7,0,8637,0,Medio,1841.685393258427,9.44951474036292,0.09486695008660054,0.0,0.0,Adulto_joven
POL-00032,64,Femenino,Casado,Licenciatura,Desconocido,Urbana,Bajio,3.4,21511.5,689.0,350.0,175305.0,5,0,20243.0,2.5,Sedan,Particular,Economico,Anual,Agente,No,No,Si,258,58.3,0,500,0,Bajo,5783.714285714285,9.976389440519794,0.016269610691458453,0.0,0.0,Mayor
POL-00033,40,Femenino,Casado,Posgrado,Profesor,Urbana,Occidente,4.3,11968.0,644.0,350.0,171453.0,5,0,6603.0,8.5,Compacto,Particular,Economico,Mensual,Agente,No,No,Si,328,61.6,1,42328,1,Alto,695.0526315789474,9.39007525287337,0.02924220904002005,171453.0,350.0,Adulto
POL-00034,26,Femenino,Soltero,Preparatoria,Independiente,Rural,Norte,0.9,45834.0,611.0,350.0,245518.0,10,0,17973.0,5.4,Compacto,Particular,Medio,Mensual,Agente,Si,No,No,23,35.8,0,3468,0,Bajo,2808.28125,10.732803270395875,0.007636085960510527,0.0,0.0,Adulto_joven
POL-00035,51,Femenino,Soltero,Preparatoria,Independiente,Rural,Norte,2.0,16282.0,614.0,1805.0,552909.0,5,0,22817.0,11.0,Deportivo,Particular,Medio,Mensual,Agente,Si,Si,No,295,36.9,0,10926,0,Medio,1901.4166666666667,9.697876897764221,0.11085180863477247,0.0,0.0,Adulto
POL-00036,24,Masculino,Casado,Posgrado,Empresario,Suburbana,Occidente,11.7,11054.0,652.0,350.0,169068.0,15,0,25883.0,10.0,Sedan,Particular,Economico,Mensual,Online,No,Si,Si,326,57.0,0,2706,0,Bajo,2353.0,9.310638093291546,0.031659882406151064,0.0,0.0,Joven
POL-00037,43,Femenino,Casado,Preparatoria,Independiente,Urbana,Bajio,1.1,17357.0,658.0,436.0,364887.0,5,0,17322.0,5.8,Sedan,Particular,Medio,Anual,Agente,Si,No,Si,108,69.5,0,3512,0,Bajo,2547.3529411764707,9.76180877420419,0.02511810116372854,0.0,0.0,Adulto
POL-00038,18,Masculino,Casado,Licenciatura,Otro,Rural,Centro,4.4,19294.0,616.0,426.0,331153.0,5,0,18287.0,2.4,Sedan,Particular,Medio,Trimestral,Agente,No,No,Si,358,49.0,0,5660,0,Medio,5378.529411764706,9.867601273971719,0.02207825861622182,0.0,0.0,Joven
POL-00039,23,Femenino,Casado,Preparatoria,Independiente,Urbana,Bajio,5.4,21511.5,630.0,555.0,380173.0,10,1,3767.0,2.5,Pickup,Particular,Medio,Trimestral,Agente,No,Si,Si,288,75.7,0,6532,0,Medio,1076.2857142857142,9.976389440519794,0.02579895409645555,0.0,0.0,Joven
POL-00040,43,Masculino,Casado,Preparatoria,Profesor,Urbana,Sur,2.4,25256.0,751.0,350.0,216442.0,5,0,27049.0,5.6,Pickup,Particular,Economico,Anual,Agente,Si,Si,Si,317,73.9,0,4340,0,Bajo,4098.333333333334,10.136858624005773,0.013857544443124679,0.0,0.0,Adulto
POL-00041,50,Femenino,Divorciado,Secundaria,Empleado,Rural,Bajio,11.1,13951.0,754.0,350.0,225375.0,5,0,12335.0,7.1,Sedan,Trabajo,Economico,Mensual,Agente,No,Si,No,340,33.9,0,1463,0,Bajo,1522.8395061728395,9.543378146148761,0.025086009174311925,0.0,0.0,Adulto
POL-00042,42,Femenino,Casado,Secundaria,Estudiante,Suburbana,Bajio,5.3,80086.64,669.0,350.0,309757.0,5,0,10366.0,4.4,Compacto,Particular,Medio,Mensual,Broker,Si,Si,No,316,45.8,0,6731,0,Medio,1919.6296296296296,11.290876814033778,0.004370212432280437,0.0,0.0,Adulto
POL-00043,38,Masculino,Casado,Secundaria,Empleado,Suburbana,Centro,2.4,15479.0,549.0,374.0,354004.0,3,0,14096.0,2.9,Sedan,Particular,Medio,Trimestral,Banco,No,Si,Si,348,51.0,0,6308,0,Medio,3614.3589743589746,9.647304147143718,0.024160206718346254,0.0,0.0,Adulto_joven
POL-00044,36,Masculino,Casado,Secundaria,Empleado,Suburbana,Centro,3.4,20188.0,690.0,1316.0,320471.0,15,1,23814.0,4.5,Sedan,Taxi/Plataforma,Medio,Mensual,Agente,No,Si,Si,26,79.8,0,5902,0,Medio,4329.818181818182,9.912893180610224,0.06518401109515082,0.0,0.0,Adulto_joven
POL-00045,21,Femenino,Soltero,Posgrado,Independiente,Urbana,Centro,4.7,32097.0,767.0,618.0,269648.0,5,0,27644.0,11.0,SUV,Particular,Economico,Mensual,Online,No,No,Si,125,71.2,0,5720,0,Medio,2303.6666666666665,10.376549001881102,0.019253536045859554,0.0,0.0,Joven
POL-00046,31,Masculino,Casado,Preparatoria,Empleado,Urbana,Norte,3.6,15457.0,753.0,1010.0,280315.0,10,3,16190.0,4.5,Sedan,Particular,Medio,Mensual,Agente,Si,Si,No,315,65.9,0,4398,0,Bajo,2943.6363636363635,9.645881947666817,0.06533833613662829,0.0,0.0,Adulto_joven
POL-00047,34,Femenino,Soltero,Licenciatura,Independiente,Suburbana,Occidente,8.4,16085.0,705.0,456.0,350260.0,5,1,20989.0,3.7,Sedan,Trabajo,Medio,Mensual,Agente,Si,No,No,169,55.4,0,7584,0,Medio,4465.744680851064,9.685704607464015,0.02834763148079075,0.0,0.0,Adulto_joven
POL-00048,54,Femenino,Divorciado,Licenciatura,Estudiante,Urbana,Sur,1.8,30461.0,651.0,350.0,213344.0,10,0,15738.0,2.5,SUV,Particular,Economico,Mensual,Online,No,Si,Si,46,58.6,0,4626,0,Bajo,4496.571428571428,10.32423528417545,0.011489724903158033,0.0,0.0,Adulto
POL-00049,44,Femenino,Casado,Licenciatura,Empleado,Urbana,Bajio,1.4,13726.0,654.0,551.0,148498.0,5,0,9792.0,5.2,Compacto,Trabajo,Economico,Mensual,Agente,No,No,Si,342,67.1,0,3964,0,Bajo,1579.3548387096773,9.52711997525166,0.04013987032854957,0.0,0.0,Adulto
POL-00050,18,Femenino,Casado,Secundaria,Empleado,Suburbana,Occidente,1.0,17804.0,697.0,800.0,296752.0,5,2,23622.0,10.1,Compacto,Particular,Medio,Mensual,Agente,Si,No,Si,180,57.6,0,9034,0,Medio,2128.1081081081084,9.787234595711878,0.04493119910137602,0.0,0.0,Joven
POL-00051,44,Masculino,Soltero,Licenciatura,Otro,Suburbana,Centro,0.2,21511.5,599.0,463.0,393168.0,15,0,12078.0,10.3,SUV,Particular,Medio,Mensual,Online,Si,No,Si,364,49.8,0,7376,0,Medio,1068.8495575221239,9.976389440519794,0.021522370714700756,0.0,0.0,Adulto
POL-00052,35,Masculino,Soltero,Licenciatura,Desconocido,Urbana,Centro,0.2,21511.5,672.0,615.0,230649.0,5,2,23945.0,3.2,Pickup,Particular,Economico,Mensual,Online,Si,Si,Si,72,58.9,0,5428,0,Medio,5701.190476190476,9.976389440519794,0.028588030214991286,0.0,0.0,Adulto_joven
POL-00053,31,Femenino,Soltero,Licenciatura,Empleado,Suburbana,Centro,8.2,30692.0,750.0,1487.0,376925.0,10,1,22642.0,5.8,SUV,Taxi/Plataforma,Medio,Mensual,Broker,No,No,Si,121,49.4,0,11017,0,Medio,3329.7058823529414,10.33178989454705,0.04844752875248428,0.0,0.0,Adulto_joven
POL-00054,48,Masculino,Casado,Licenciatura,Independiente,Suburbana,Norte,4.5,28531.0,606.0,612.0,252134.0,3,0,18877.0,3.4,Sedan,Trabajo,Medio,Anual,Banco,No,No,Si,352,47.4,0,3290,0,Bajo,4290.227272727272,10.258781543397928,0.021449600448619096,0.0,0.0,Adulto
POL-00055,53,Masculino,Soltero,Posgrado,Independiente,Suburbana,Occidente,4.3,29459.0,585.0,580.0,473433.0,5,0,25559.0,4.3,Pickup,Trabajo,Medio,Anual,Banco,Si,Si,Si,185,39.1,0,7832,0,Medio,4822.452830188679,10.29078869001662,0.019687712152070606,0.0,0.0,Adulto
POL-00056,52,Femenino,Casado,Licenciatura,Empleado,Urbana,Centro,3.8,12192.0,657.0,497.0,382845.0,10,0,27778.0,5.1,Pickup,Particular,Medio,Mensual,Agente,Si,Si,Si,323,60.4,0,3985,0,Bajo,4553.770491803279,9.408617295560266,0.040761092430082836,0.0,0.0,Adulto
POL-00057,29,Masculino,Divorciado,Preparatoria,Empleado,Urbana,Norte,7.6,23444.0,633.0,493.0,499933.0,10,0,14536.0,3.9,SUV,Particular,Desconocido,Anual,Agente,No,Si,Si,318,53.9,0,9087,0,Medio,2966.530612244898,10.062412531523687,0.021027937726594156,0.0,0.0,Adulto_joven
POL-00058,36,Femenino,Divorciado,Licenciatura,Empleado,Urbana,Centro,2.6,21643.0,699.0,890.0,217367.0,5,1,11052.0,0.4,SUV,Particular,Economico,Anual,Online,No,Si,Si,81,55.1,0,3585,0,Bajo,7894.285714285715,9.982483558762626,0.04111994086120865,0.0,0.0,Adulto_joven
POL-00059,44,Masculino,Casado,Secundaria,Desconocido,Urbana,Occidente,8.2,26257.0,616.0,442.0,284347.0,10,1,5247.0,13.0,Pickup,Trabajo,Economico,Mensual,Broker,No,Si,Si,29,55.9,1,11522,1,Alto,374.7857142857143,10.175725983494056,0.01683296519156067,284347.0,442.0,Adulto
POL-00060,53,Masculino,Soltero,Posgrado,Empleado,Urbana,Norte,1.8,23456.0,779.0,350.0,321945.0,5,0,27846.0,3.6,SUV,Particular,Medio,Mensual,Agente,No,No,No,280,72.6,0,4451,0,Bajo,6053.478260869566,10.062924236792623,0.014920919128618322,0.0,0.0,Adulto
POL-00061,34,Masculino,Divorciado,Secundaria,Empleado,Urbana,Occidente,10.5,27109.0,553.0,350.0,167037.0,5,0,13082.0,3.5,Compacto,Particular,Economico,Anual,Broker,Si,Si,Si,120,58.6,0,1476,0,Bajo,2907.1111111111113,10.20765794249271,0.012910365178900774,0.0,0.0,Adulto_joven
POL-00062,38,Femenino,Divorciado,Preparatoria,Estudiante,Urbana,Norte,4.8,18536.0,744.0,585.0,360304.0,5,0,21743.0,3.2,Sedan,Particular,Medio,Trimestral,Agente,No,No,Si,352,52.7,0,5470,0,Medio,5176.9047619047615,9.82752401372909,0.03155850461239683,0.0,0.0,Adulto_joven
POL-00063,26,Femenino,Soltero,Licenciatura,Empleado,Rural,Bajio,1.2,22721.0,593.0,350.0,318057.0,5,0,11423.0,1.8,Compacto,Particular,Medio,Mensual,Agente,No,No,Si,354,54.6,0,2923,0,Bajo,4079.6428571428573,10.03108889712985,0.015403573629081947,0.0,0.0,Adulto_joven
POL-00064,24,Femenino,Casado,Licenciatura,Empresario,Urbana,Centro,3.3,11198.0,515.0,385.0,149844.0,5,0,23960.0,13.2,Sedan,Particular,Economico,Trimestral,Agente,No,No,Si,105,58.6,1,6840,0,Medio,1687.323943661972,9.323579767582693,0.03437806947048844,149844.0,385.0,Joven
POL-00065,51,Femenino,Soltero,Preparatoria,Empleado,Suburbana,Occidente,3.0,18451.0,668.0,350.0,294122.0,5,0,11649.0,5.3,Sedan,Particular,Medio,Mensual,Online,No,Si,Si,311,56.0,0,2998,0,Bajo,1849.047619047619,9.822928044677711,0.01896813353566009,0.0,0.0,Adulto
POL-00066,58,Femenino,Casado,Preparatoria,Estudiante,Suburbana,Sur,0.6,47276.0,631.0,350.0,428652.0,15,1,8946.0,7.2,SUV,Particular,Medio,Mensual,Banco,No,No,Si,129,52.1,0,6983,0,Medio,1090.9756097560976,10.76377919829018,0.007403177020538528,0.0,0.0,Adulto
POL-00067,39,Masculino,Viudo,Licenciatura,Empleado,Urbana,Occidente,3.6,26216.0,567.0,350.0,229044.0,3,1,14353.0,6.6,SUV,Trabajo,Economico,Mensual,Agente,No,Si,No,204,70.1,0,3828,0,Bajo,1888.5526315789475,10.174163334295654,0.013350116336728076,0.0,0.0,Adulto_joven
POL-00068,53,Femenino,Soltero,Preparatoria,Estudiante,Rural,Bajio,1.5,21748.0,524.0,497.0,281746.0,3,1,12575.0,3.8,Compacto,Particular,Medio,Mensual,Broker,No,Si,Si,52,32.7,0,2008,0,Bajo,2619.791666666667,9.98732305844836,0.022851625362085612,0.0,0.0,Adulto
POL-00069,45,Femenino,Divorciado,Licenciatura,Estudiante,Suburbana,Norte,0.2,62422.0,649.0,985.0,778121.0,3,0,18780.0,5.3,SUV,Particular,Premium,Mensual,Online,Si,Si,No,296,35.5,0,11811,1,Alto,2980.952380952381,11.041689076188597,0.01577944027041315,0.0,0.0,Adulto
POL-00070,32,Masculino,Casado,Secundaria,Empresario,Urbana,Norte,11.9,10408.0,723.0,506.0,292703.0,5,0,15217.0,8.1,Pickup,Particular,Economico,Anual,Online,No,No,Si,278,58.6,0,3507,0,Bajo,1672.1978021978023,9.250426095515468,0.04861177826880584,0.0,0.0,Adulto_joven
POL-00071,45,Femenino,Viudo,Licenciatura,Empresario,Suburbana,Centro,4.1,11951.0,694.0,1507.0,437614.0,5,1,18952.0,2.0,Sedan,Taxi/Plataforma,Medio,Mensual,Banco,No,No,Si,188,58.6,0,9498,0,Medio,6317.333333333333,9.388653907372598,0.1260876840696118,0.0,0.0,Adulto
POL-00072,60,Masculino,Casado,Licenciatura,Profesor,Urbana,Occidente,8.4,56432.0,654.0,423.0,182260.0,3,0,13899.0,4.2,Sedan,Particular,Desconocido,Mensual,Agente,No,Si,Si,214,80.7,0,1638,0,Bajo,2672.8846153846152,10.94080937276113,0.007495614268247302,0.0,0.0,Mayor
POL-00073,40,Femenino,Casado,Secundaria,Profesor,Suburbana,Norte,4.5,21511.5,686.0,389.0,237582.0,5,1,11842.0,4.7,SUV,Particular,Economico,Mensual,Banco,No,Si,No,30,41.8,0,5844,0,Medio,2077.5438596491226,9.976389440519794,0.018082510168506684,0.0,0.0,Adulto
POL-00074,60,Femenino,Soltero,Preparatoria,Independiente,Urbana,Centro,1.8,19252.0,648.0,350.0,226524.0,5,0,12290.0,3.8,SUV,Particular,Economico,Mensual,Agente,No,Si,No,257,64.2,0,6466,0,Medio,2560.416666666667,9.865422171729335,0.018178985093232222,0.0,0.0,Mayor
POL-00075,18,Femenino,Soltero,Secundaria,Estudiante,Suburbana,Occidente,2.9,11376.0,543.0,596.0,503968.0,10,0,26747.0,3.7,Pickup,Particular,Medio,Anual,Agente,Si,No,No,59,44.0,0,10987,0,Medio,5690.851063829787,9.339349052539717,0.05238639360112508,0.0,0.0,Joven
POL-00076,51,Femenino,Soltero,Licenciatura,Empresario,Urbana,Occidente,4.5,28142.0,543.0,1129.0,248538.0,15,1,16738.0,5.9,SUV,Taxi/Plataforma,Economico,Mensual,Online,Si,No,Si,77,64.9,0,3543,0,Bajo,2425.797101449275,10.245053934794061,0.04011654763173791,0.0,0.0,Adulto
POL-00077,41,Masculino,Viudo,Preparatoria,Empresario,Suburbana,Centro,12.9,29681.0,635.0,1593.0,285082.0,5,0,4589.0,11.3,Deportivo,Trabajo,Economico,Mensual,Broker,No,Si,Si,22,34.6,0,5589,0,Medio,373.0894308943089,10.298296080455764,0.05366889023650697,0.0,0.0,Adulto
POL-00078,36,Femenino,Casado,Licenciatura,Empresario,Urbana,Occidente,1.2,12050.0,638.0,547.0,401377.0,3,0,12639.0,7.0,Pickup,Particular,Medio,Mensual,Online,No,Si,Si,184,77.0,0,5084,0,Medio,1579.875,9.396902923027392,0.04539042403120073,0.0,0.0,Adulto_joven
POL-00079,41,Masculino,Casado,Secundaria,Empleado,Suburbana,Occidente,8.3,20366.0,714.0,350.0,135548.0,3,0,16033.0,3.1,Compacto,Particular,Economico,Mensual,Online,Si,No,Si,34,50.2,0,880,0,Bajo,3910.4878048780492,9.921671222969756,0.017184661462169196,0.0,0.0,Adulto
POL-00080,18,Femenino,Divorciado,Secundaria,Empleado,Suburbana,Centro,10.3,18293.0,707.0,598.0,248722.0,10,1,25650.0,20.3,Sedan,Particular,Economico,Mensual,Banco,No,Si,Si,0,57.3,0,3850,0,Bajo,1204.225352112676,9.81432841621631,0.03268831310812288,0.0,0.0,Joven
POL-00081,37,Femenino,Soltero,Secundaria,Empresario,Urbana,Norte,4.4,25326.0,695.0,350.0,194259.0,10,0,21158.0,11.4,Sedan,Particular,Economico,Mensual,Agente,No,Si,Si,104,63.1,0,3333,0,Bajo,1706.2903225806451,10.13962629934515,0.0138192442847554,0.0,0.0,Adulto_joven
POL-00082,45,Masculino,Casado,Preparatoria,Independiente,Suburbana,Sur,10.7,11887.0,629.0,366.0,167582.0,5,0,10431.0,3.9,Sedan,Particular,Economico,Mensual,Banco,No,No,Si,175,51.5,0,1332,0,Bajo,2128.7755102040815,9.38328476695754,0.030787348586810228,0.0,0.0,Adulto
